 lyrNum , LyrType,      Fr,      Fc,     Grp,   strdX,   strdY,multiCoreMode,    Pool,  pooKer, pooStrd,enableBias,      Ni,      No,     InW,     InH,    outW,    outH,procTime(us),LayerCycles,kernelOnlyCycles,coreLoopCycles,LayerSetupCycles,dmaPipeupCycles,   IOcyles,inVol(KB),outVol(KB),wtVol(KB), srcMem-IN, dstMem-IN,srcMem-OUT,dstMem-OUT, srcMem-WT, dstMem-WT,MSMCBW-R(M),MSMCBW-W(M),DDRBW-R(M),DDRBW-W(M),dataFlow,utilization,
      97,TIDL_OdOutputReformatLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         0,       1,       1,    1405,       1,       5,     200,    6.52, 6520.83,   91.45,  520.83,    0.00,    0.00,  520.83,  5.50,  4.00,  0.00,      MSMC,        L2,      MSMC,       DDR,       DDR,      MSMC,    0.01,    0.00,    0.00,    0.00,       2,    0.01,
      98,TIDL_OdOutputReformatLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         0,       1,       1,    1405,       1,     200,       1,    6.38, 6381.94,   78.29,  381.94,    0.00,    0.00,  381.94,  5.50,  0.88,  0.00,      MSMC,        L2,      MSMC,       DDR,       DDR,      MSMC,    0.01,    0.00,    0.00,    0.00,       2,    0.00,
-------------------------Network summary-----------------------
Release version = TI_NETWORK_COMPILER_11.00.00
Total Network Cycles (mega)        =    16.54
total Network time (us)          = 16539.68
MSMC SRAM BW (Mega Bytes) : Read  =    41.33
MSMC SRAM BW (Mega Bytes) : Write =    44.63
MSMC SRAM BW (Mega Bytes) : Total =    85.96
DDR BW (Mega Bytes) : Read  =    41.09
DDR BW (Mega Bytes) : Write =    20.99
DDR BW (Mega Bytes) : Total =    62.08
---------------------------------------------------------------
*********   Configuration Parameters - For internal/debug use only *************
CPUFREQ_MHZ  = 1000
L2MEMSIZE_KB  =  224
MATPANELSIZE  =   32
LOOPSETUP_CYCLES  =   75
LAYERSETUP_CYCLES  = 6000
MMACORELOOP_OH  =  103
NUMCORES  =    1
CORE_START_IDX  =    0
MSMCSIZE_KB  = 1024
BUSWIDTH_L3_L2  = 1024
BUSWIDTH_DDR  =   32
DDRFREQ_MHZ  = 3200
NUMEMIF_PORTS  =    1
DDR_EFFICIENCY  = 0.60
MSMC_EFFICIENCY  = 0.90
L2_EFFICIENCY  = 0.95
BANKCONFLICTFACT  = 1.10
MSMC_READFACT  = 3.00
DATATYPE  =    0
INWIDTH  =  512
INHEIGHT  =  512
NUMCHANNELS  =    3
NUM_BIAS_INSTANCE  =    1
NUM_PANELSPLITS_VERTICAL  =    1
NUM_WRITEPORTS_L3  =    1
NUM_SE_READPORTS_L3  =    0
NUM_SE_READPORTS_L2  =    2
NUM_DRU_PORTS  =    1
BPANEL_WRITE_PORTS  =    1
NUM_LUT_WRITEMMA  =    0
BATCH_SIZE  =    1
